"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Fstl4"	0.824482121749163	3.79927614514495	6.93265188823178	7.49070337960101e-09	6.46589417669451e-07	10.0788825642999
"Klhl23"	-0.242276614160461	6.92458490486252	-7.00366317074598	5.79665504758560e-09	5.22976183360985e-07	10.051549320435
"Tmod1"	-0.789285774198995	2.49344464274757	-6.89852357127267	8.47309665034889e-09	7.15909420155669e-07	10.0370403085713
"Coro2a"	0.360578723038426	5.06388150693938	6.96363790676803	6.69782926910641e-09	5.84467954089401e-07	10.0287559713137
"Fam105a"	-0.601175541006937	3.06723473481542	-6.89505583131118	8.57986377971143e-09	7.17339501037758e-07	10.0263373042008
"Acan"	0.749154146617958	2.42853007671087	6.88738237081785	8.82092798931048e-09	7.33653120110933e-07	10.0010506563501
"Diras2"	0.63128884330776	6.40799501093407	6.97441298498919	6.44226832167684e-09	5.71536571271431e-07	9.97020560283238
"Cpne4"	-0.582637093368941	5.96668631464688	-6.96723006788358	6.61152321743566e-09	5.83311680990221e-07	9.95692596050412
"Fat3"	0.61637657065558	7.72256709421114	6.97781246744657	6.36368314787796e-09	5.67718749656218e-07	9.94601139568027
"Chn2"	-0.774552059750568	4.89474712587936	-6.92519881894414	7.69502636329377e-09	6.60655247287302e-07	9.92210870247445
"Dstyk"	0.20498892132919	6.62233185975204	6.96474511674924	6.67110767464513e-09	5.84467954089401e-07	9.92088314244765
"Pex5l"	0.67898815887335	5.46778891061023	6.91503177607069	7.98277356758376e-09	6.8169471176869e-07	9.90902960478414
"Clec2l"	0.468823225980514	6.10887921198862	6.95018674632474	7.03114585095891e-09	6.10219391815015e-07	9.90273360744488
"Josd2"	0.385510442753778	4.16696051552802	6.88444914117509	8.9148561022965e-09	7.37623508277579e-07	9.85105383448372
"Ovol2"	1.32566986012409	0.452079793781734	6.85158094971978	1.00383205882866e-08	8.13715438956085e-07	9.83132447796212
"Htr1a"	0.611784368530983	3.89529457353247	6.85191511359631	1.00262144700345e-08	8.13715438956085e-07	9.77204099194953
"Limk1"	0.261334094129562	6.58795848673647	6.90761887076527	8.19933677344265e-09	6.96463877314392e-07	9.7164739072815
"Paqr4"	0.275762580946497	5.93576834833107	6.89529978537312	8.57230894275621e-09	7.17339501037758e-07	9.70403132004176
"Efnb2"	-0.74778057941562	5.03799179079395	-6.84976659295235	1.01043069025633e-08	8.14927661247645e-07	9.68526617366135
"Hr"	0.919786574385836	4.36073170164445	6.83202474072739	1.07728670554217e-08	8.55880169194177e-07	9.64891543091618
"Rab26"	-0.581279537157367	5.54884780825073	-6.85706742546855	9.84139366171126e-09	8.05934437865985e-07	9.64060450752016
"Rnpep"	-0.282937038717596	6.72442545371998	-6.88243578837132	8.97990626586737e-09	7.39175892575443e-07	9.62070603795632
"Bmper"	0.445233396040774	4.41403548893147	6.80598702303282	1.18349567987715e-08	9.30997168076763e-07	9.54642881873107
"Gabra1"	0.656390730985135	7.84933652770583	6.84516479315041	1.02736217592023e-08	8.24419426495984e-07	9.47763654829616
"Bcl11b"	-0.586212123300811	6.50545549353764	-6.83017894572176	1.08449134805717e-08	8.5733872956064e-07	9.47729551243318
"Actn1"	-0.401227885662796	6.44652908385156	-6.83436221886904	1.06823153744371e-08	8.52929471071932e-07	9.4573717395821
